교통수단별,기준연월,목적,성별,연령,인원수
부산,2023-09-30,관광,남성,20세 이하,451
인천,2023-09-30,관광,남성,20세 이하,60
인천공항,2023-09-30,관광,남성,20세 이하,21259
제주공항,2023-09-30,관광,남성,20세 이하,2047
제주항,2023-09-30,관광,남성,20세 이하,177
기타공항,2023-09-30,관광,남성,21~30세,795
기타항구,2023-09-30,관광,남성,21~30세,327
김포,2023-09-30,관광,남성,21~30세,4945
김해,2023-09-30,관광,남성,21~30세,5154
부산,2023-09-30,관광,남성,21~30세,770
인천,2023-09-30,관광,남성,21~30세,129
인천공항,2023-09-30,관광,남성,21~30세,56215
제주공항,2023-09-30,관광,남성,21~30세,6579
제주항,2023-09-30,관광,남성,21~30세,124
기타공항,2023-09-30,관광,남성,31~40세,900
기타항구,2023-09-30,관광,남성,31~40세,509
김포,2023-09-30,관광,남성,31~40세,6980
김해,2023-09-30,관광,남성,31~40세,6554
부산,2023-09-30,관광,남성,31~40세,740
인천,2023-09-30,관광,남성,31~40세,369
인천공항,2023-09-30,관광,남성,31~40세,62052
제주공항,2023-09-30,관광,남성,31~40세,5767
제주항,2023-09-30,관광,남성,31~40세,290
기타공항,2023-09-30,관광,남성,41~50세,715
기타항구,2023-09-30,관광,남성,41~50세,574
김포,2023-09-30,관광,남성,41~50세,6560
김해,2023-09-30,관광,남성,41~50세,5565
부산,2023-09-30,관광,남성,41~50세,825
인천,2023-09-30,관광,남성,41~50세,625
인천공항,2023-09-30,관광,남성,41~50세,40116
제주공항,2023-09-30,관광,남성,41~50세,2484
제주항,2023-09-30,관광,남성,41~50세,221
기타공항,2023-09-30,관광,남성,51~60세,601
기타항구,2023-09-30,관광,남성,51~60세,833
김포,2023-09-30,관광,남성,51~60세,5538
김해,2023-09-30,관광,남성,51~60세,5060
부산,2023-09-30,관광,남성,51~60세,1311
인천,2023-09-30,관광,남성,51~60세,897
인천공항,2023-09-30,관광,남성,51~60세,32569
제주공항,2023-09-30,관광,남성,51~60세,1992
제주항,2023-09-30,관광,남성,51~60세,263
기타공항,2023-09-30,관광,남성,61세이상,645
기타항구,2023-09-30,관광,남성,61세이상,2180
김포,2023-09-30,관광,남성,61세이상,3609
김해,2023-09-30,관광,남성,61세이상,4403
부산,2023-09-30,관광,남성,61세이상,5002
인천,2023-09-30,관광,남성,61세이상,1150
인천공항,2023-09-30,관광,남성,61세이상,26599
제주공항,2023-09-30,관광,남성,61세이상,1754
제주항,2023-09-30,관광,남성,61세이상,915
기타공항,2023-09-30,관광,여성,20세 이하,594
기타항구,2023-09-30,관광,여성,20세 이하,157
김포,2023-09-30,관광,여성,20세 이하,3974
김해,2023-09-30,관광,여성,20세 이하,2757
부산,2023-09-30,관광,여성,20세 이하,551
인천,2023-09-30,관광,여성,20세 이하,67
인천공항,2023-09-30,관광,여성,20세 이하,36568
제주공항,2023-09-30,관광,여성,20세 이하,2856
제주항,2023-09-30,관광,여성,20세 이하,189
기타공항,2023-09-30,관광,여성,21~30세,1616
기타항구,2023-09-30,관광,여성,21~30세,214
김포,2023-09-30,관광,여성,21~30세,14207
김해,2023-09-30,관광,여성,21~30세,9395
부산,2023-09-30,관광,여성,21~30세,1048
인천,2023-09-30,관광,여성,21~30세,175
인천공항,2023-09-30,관광,여성,21~30세,139337
제주공항,2023-09-30,관광,여성,21~30세,20145
제주항,2023-09-30,관광,여성,21~30세,173
기타공항,2023-09-30,관광,여성,31~40세,1546
기타항구,2023-09-30,관광,여성,31~40세,279
김포,2023-09-30,관광,여성,31~40세,10504
김해,2023-09-30,관광,여성,31~40세,8281
부산,2023-09-30,관광,여성,31~40세,851
인천,2023-09-30,관광,여성,31~40세,340
인천공항,2023-09-30,관광,여성,31~40세,90751
제주공항,2023-09-30,관광,여성,31~40세,11431
제주항,2023-09-30,관광,여성,31~40세,369
기타공항,2023-09-30,관광,여성,41~50세,1255
기타항구,2023-09-30,관광,여성,41~50세,416
김포,2023-09-30,관광,여성,41~50세,6878
김해,2023-09-30,관광,여성,41~50세,6971
부산,2023-09-30,관광,여성,41~50세,1093
인천,2023-09-30,관광,여성,41~50세,459
인천공항,2023-09-30,관광,여성,41~50세,52213
제주공항,2023-09-30,관광,여성,41~50세,3690
제주항,2023-09-30,관광,여성,41~50세,283
기타공항,2023-09-30,관광,여성,51~60세,1056
기타항구,2023-09-30,관광,여성,51~60세,1327
김포,2023-09-30,관광,여성,51~60세,7162
김해,2023-09-30,관광,여성,51~60세,6994
부산,2023-09-30,관광,여성,51~60세,2191
인천,2023-09-30,관광,여성,51~60세,904
인천공항,2023-09-30,관광,여성,51~60세,47697
제주공항,2023-09-30,관광,여성,51~60세,3418
제주항,2023-09-30,관광,여성,51~60세,531
기타공항,2023-09-30,관광,여성,61세이상,1004
기타항구,2023-09-30,관광,여성,61세이상,2363
김포,2023-09-30,관광,여성,61세이상,4262
김해,2023-09-30,관광,여성,61세이상,5506
부산,2023-09-30,관광,여성,61세이상,6634
인천,2023-09-30,관광,여성,61세이상,834
인천공항,2023-09-30,관광,여성,61세이상,34170
제주공항,2023-09-30,관광,여성,61세이상,2303
제주항,2023-09-30,관광,여성,61세이상,1046
기타공항,2023-10-31,관광,남성,20세 이하,374
기타항구,2023-10-31,관광,남성,20세 이하,201
김포,2023-10-31,관광,남성,20세 이하,1279
김해,2023-10-31,관광,남성,20세 이하,2000
부산,2023-10-31,관광,남성,20세 이하,340
인천,2023-10-31,관광,남성,20세 이하,58
인천공항,2023-10-31,관광,남성,20세 이하,19602
제주공항,2023-10-31,관광,남성,20세 이하,1753
제주항,2023-10-31,관광,남성,20세 이하,289
기타공항,2023-10-31,관광,남성,21~30세,650
기타항구,2023-10-31,관광,남성,21~30세,374
김포,2023-10-31,관광,남성,21~30세,4346
김해,2023-10-31,관광,남성,21~30세,5272
부산,2023-10-31,관광,남성,21~30세,746
인천,2023-10-31,관광,남성,21~30세,132
인천공항,2023-10-31,관광,남성,21~30세,53273
제주공항,2023-10-31,관광,남성,21~30세,5702
제주항,2023-10-31,관광,남성,21~30세,210
기타공항,2023-10-31,관광,남성,31~40세,908
기타항구,2023-10-31,관광,남성,31~40세,785
김포,2023-10-31,관광,남성,31~40세,6798
김해,2023-10-31,관광,남성,31~40세,7603
부산,2023-10-31,관광,남성,31~40세,850
인천,2023-10-31,관광,남성,31~40세,384
인천공항,2023-10-31,관광,남성,31~40세,69661
제주공항,2023-10-31,관광,남성,31~40세,5526
제주항,2023-10-31,관광,남성,31~40세,576
기타공항,2023-10-31,관광,남성,41~50세,723
기타항구,2023-10-31,관광,남성,41~50세,932
김포,2023-10-31,관광,남성,41~50세,7012
김해,2023-10-31,관광,남성,41~50세,6804
부산,2023-10-31,관광,남성,41~50세,805
인천,2023-10-31,관광,남성,41~50세,794
인천공항,2023-10-31,관광,남성,41~50세,49513
제주공항,2023-10-31,관광,남성,41~50세,2489
제주항,2023-10-31,관광,남성,41~50세,537
기타공항,2023-10-31,관광,남성,51~60세,601
기타항구,2023-10-31,관광,남성,51~60세,1433
김포,2023-10-31,관광,남성,51~60세,6327
김해,2023-10-31,관광,남성,51~60세,5946
부산,2023-10-31,관광,남성,51~60세,1483
인천,2023-10-31,관광,남성,51~60세,1031
인천공항,2023-10-31,관광,남성,51~60세,40165
제주공항,2023-10-31,관광,남성,51~60세,2075
제주항,2023-10-31,관광,남성,51~60세,609
기타공항,2023-10-31,관광,남성,61세이상,609
기타항구,2023-10-31,관광,남성,61세이상,3837
김포,2023-10-31,관광,남성,61세이상,4601
김해,2023-10-31,관광,남성,61세이상,5546
부산,2023-10-31,관광,남성,61세이상,9747
인천,2023-10-31,관광,남성,61세이상,1467
인천공항,2023-10-31,관광,남성,61세이상,35815
제주공항,2023-10-31,관광,남성,61세이상,1888
제주항,2023-10-31,관광,남성,61세이상,1436
기타공항,2023-10-31,관광,여성,20세 이하,484
기타항구,2023-10-31,관광,여성,20세 이하,202
김포,2023-10-31,관광,여성,20세 이하,2620
김해,2023-10-31,관광,여성,20세 이하,2745
부산,2023-10-31,관광,여성,20세 이하,563
인천,2023-10-31,관광,여성,20세 이하,59
인천공항,2023-10-31,관광,여성,20세 이하,30244
제주공항,2023-10-31,관광,여성,20세 이하,2131
제주항,2023-10-31,관광,여성,20세 이하,273
기타공항,2023-10-31,관광,여성,21~30세,1445
기타항구,2023-10-31,관광,여성,21~30세,286
김포,2023-10-31,관광,여성,21~30세,12783
김해,2023-10-31,관광,여성,21~30세,10082
부산,2023-10-31,관광,여성,21~30세,1166
인천,2023-10-31,관광,여성,21~30세,158
인천공항,2023-10-31,관광,여성,21~30세,139386
제주공항,2023-10-31,관광,여성,21~30세,16258
제주항,2023-10-31,관광,여성,21~30세,305
기타공항,2023-10-31,관광,여성,31~40세,1381
기타항구,2023-10-31,관광,여성,31~40세,621
김포,2023-10-31,관광,여성,31~40세,10569
김해,2023-10-31,관광,여성,31~40세,10053
부산,2023-10-31,관광,여성,31~40세,1047
인천,2023-10-31,관광,여성,31~40세,308
인천공항,2023-10-31,관광,여성,31~40세,106335
제주공항,2023-10-31,관광,여성,31~40세,10764
제주항,2023-10-31,관광,여성,31~40세,819
기타공항,2023-10-31,관광,여성,41~50세,1262
기타항구,2023-10-31,관광,여성,41~50세,916
김포,2023-10-31,관광,여성,41~50세,7269
김해,2023-10-31,관광,여성,41~50세,8493
부산,2023-10-31,관광,여성,41~50세,1254
인천,2023-10-31,관광,여성,41~50세,501
인천공항,2023-10-31,관광,여성,41~50세,65322
제주공항,2023-10-31,관광,여성,41~50세,3695
제주항,2023-10-31,관광,여성,41~50세,873
기타공항,2023-10-31,관광,여성,51~60세,1058
기타항구,2023-10-31,관광,여성,51~60세,2005
김포,2023-10-31,관광,여성,51~60세,7815
김해,2023-10-31,관광,여성,51~60세,8499
부산,2023-10-31,관광,여성,51~60세,2728
인천,2023-10-31,관광,여성,51~60세,1096
인천공항,2023-10-31,관광,여성,51~60세,60530
제주공항,2023-10-31,관광,여성,51~60세,3571
제주항,2023-10-31,관광,여성,51~60세,1066
기타공항,2023-10-31,관광,여성,61세이상,1003
기타항구,2023-10-31,관광,여성,61세이상,3664
김포,2023-10-31,관광,여성,61세이상,5713
김해,2023-10-31,관광,여성,61세이상,7390
부산,2023-10-31,관광,여성,61세이상,12452
인천,2023-10-31,관광,여성,61세이상,1210
인천공항,2023-10-31,관광,여성,61세이상,48902
제주공항,2023-10-31,관광,여성,61세이상,2620
제주항,2023-10-31,관광,여성,61세이상,1938
기타공항,2023-11-30,관광,남성,20세 이하,309
기타항구,2023-11-30,관광,남성,20세 이하,143
김포,2023-11-30,관광,남성,20세 이하,1335
김해,2023-11-30,관광,남성,20세 이하,2139
부산,2023-11-30,관광,남성,20세 이하,367
인천,2023-11-30,관광,남성,20세 이하,39
인천공항,2023-11-30,관광,남성,20세 이하,20290
제주공항,2023-11-30,관광,남성,20세 이하,1317
제주항,2023-11-30,관광,남성,20세 이하,45
기타공항,2023-11-30,관광,남성,21~30세,583
기타항구,2023-11-30,관광,남성,21~30세,260
김포,2023-11-30,관광,남성,21~30세,4642
김해,2023-11-30,관광,남성,21~30세,5442
부산,2023-11-30,관광,남성,21~30세,686
인천,2023-11-30,관광,남성,21~30세,166
인천공항,2023-11-30,관광,남성,21~30세,52783
제주공항,2023-11-30,관광,남성,21~30세,4582
제주항,2023-11-30,관광,남성,21~30세,125
기타공항,2023-11-30,관광,남성,31~40세,703
기타항구,2023-11-30,관광,남성,31~40세,593
김포,2023-11-30,관광,남성,31~40세,6859
김해,2023-11-30,관광,남성,31~40세,6950
부산,2023-11-30,관광,남성,31~40세,729
인천,2023-11-30,관광,남성,31~40세,490
인천공항,2023-11-30,관광,남성,31~40세,62686
제주공항,2023-11-30,관광,남성,31~40세,4591
제주항,2023-11-30,관광,남성,31~40세,204
기타공항,2023-11-30,관광,남성,41~50세,615
기타항구,2023-11-30,관광,남성,41~50세,809
김포,2023-11-30,관광,남성,41~50세,7258
김해,2023-11-30,관광,남성,41~50세,6228
부산,2023-11-30,관광,남성,41~50세,777
인천,2023-11-30,관광,남성,41~50세,797
인천공항,2023-11-30,관광,남성,41~50세,46319
제주공항,2023-11-30,관광,남성,41~50세,2471
제주항,2023-11-30,관광,남성,41~50세,180
기타공항,2023-11-30,관광,남성,51~60세,581
기타항구,2023-11-30,관광,남성,51~60세,1402
김포,2023-11-30,관광,남성,51~60세,6344
김해,2023-11-30,관광,남성,51~60세,5498
부산,2023-11-30,관광,남성,51~60세,1270
인천,2023-11-30,관광,남성,51~60세,1017
인천공항,2023-11-30,관광,남성,51~60세,35748
제주공항,2023-11-30,관광,남성,51~60세,1900
제주항,2023-11-30,관광,남성,51~60세,422
기타공항,2023-11-30,관광,남성,61세이상,725
기타항구,2023-11-30,관광,남성,61세이상,4561
김포,2023-11-30,관광,남성,61세이상,4054
김해,2023-11-30,관광,남성,61세이상,5490
부산,2023-11-30,관광,남성,61세이상,6120
인천,2023-11-30,관광,남성,61세이상,1411
인천공항,2023-11-30,관광,남성,61세이상,26952
제주공항,2023-11-30,관광,남성,61세이상,1935
제주항,2023-11-30,관광,남성,61세이상,1865
기타공항,2023-11-30,관광,여성,20세 이하,416
기타항구,2023-11-30,관광,여성,20세 이하,116
김포,2023-11-30,관광,여성,20세 이하,2714
김해,2023-11-30,관광,여성,20세 이하,2602
부산,2023-11-30,관광,여성,20세 이하,501
인천,2023-11-30,관광,여성,20세 이하,60
인천공항,2023-11-30,관광,여성,20세 이하,32982
제주공항,2023-11-30,관광,여성,20세 이하,1736
제주항,2023-11-30,관광,여성,20세 이하,53
기타공항,2023-11-30,관광,여성,21~30세,1189
기타항구,2023-11-30,관광,여성,21~30세,179
김포,2023-11-30,관광,여성,21~30세,13439
김해,2023-11-30,관광,여성,21~30세,9050
부산,2023-11-30,관광,여성,21~30세,957
인천,2023-11-30,관광,여성,21~30세,329
인천공항,2023-11-30,관광,여성,21~30세,137892
제주공항,2023-11-30,관광,여성,21~30세,12743
제주항,2023-11-30,관광,여성,21~30세,181
기타공항,2023-11-30,관광,여성,31~40세,1204
기타항구,2023-11-30,관광,여성,31~40세,429
김포,2023-11-30,관광,여성,31~40세,11095
김해,2023-11-30,관광,여성,31~40세,8543
부산,2023-11-30,관광,여성,31~40세,860
인천,2023-11-30,관광,여성,31~40세,556
인천공항,2023-11-30,관광,여성,31~40세,98178
제주공항,2023-11-30,관광,여성,31~40세,8973
제주항,2023-11-30,관광,여성,31~40세,233
기타공항,2023-11-30,관광,여성,41~50세,1253
기타항구,2023-11-30,관광,여성,41~50세,689
김포,2023-11-30,관광,여성,41~50세,7963
김해,2023-11-30,관광,여성,41~50세,7728
부산,2023-11-30,관광,여성,41~50세,1116
인천,2023-11-30,관광,여성,41~50세,673
인천공항,2023-11-30,관광,여성,41~50세,62794
제주공항,2023-11-30,관광,여성,41~50세,3569
제주항,2023-11-30,관광,여성,41~50세,262
기타공항,2023-11-30,관광,여성,51~60세,1075
기타항구,2023-11-30,관광,여성,51~60세,2119
김포,2023-11-30,관광,여성,51~60세,8067
김해,2023-11-30,관광,여성,51~60세,8053
부산,2023-11-30,관광,여성,51~60세,2142
인천,2023-11-30,관광,여성,51~60세,1166
인천공항,2023-11-30,관광,여성,51~60세,53950
제주공항,2023-11-30,관광,여성,51~60세,3181
제주항,2023-11-30,관광,여성,51~60세,808
기타공항,2023-11-30,관광,여성,61세이상,1093
기타항구,2023-11-30,관광,여성,61세이상,4114
김포,2023-11-30,관광,여성,61세이상,5144
김해,2023-11-30,관광,여성,61세이상,7142
부산,2023-11-30,관광,여성,61세이상,8305
인천,2023-11-30,관광,여성,61세이상,1103
인천공항,2023-11-30,관광,여성,61세이상,35586
제주공항,2023-11-30,관광,여성,61세이상,2672
제주항,2023-11-30,관광,여성,61세이상,2249
기타공항,2023-12-31,관광,남성,20세 이하,553
기타항구,2023-12-31,관광,남성,20세 이하,183
김포,2023-12-31,관광,남성,20세 이하,2110
김해,2023-12-31,관광,남성,20세 이하,3027
부산,2023-12-31,관광,남성,20세 이하,386
인천,2023-12-31,관광,남성,20세 이하,103
인천공항,2023-12-31,관광,남성,20세 이하,40765
제주공항,2023-12-31,관광,남성,20세 이하,2103
제주항,2023-12-31,관광,남성,20세 이하,249
기타공항,2023-12-31,관광,남성,21~30세,609
기타항구,2023-12-31,관광,남성,21~30세,376
김포,2023-12-31,관광,남성,21~30세,4746
김해,2023-12-31,관광,남성,21~30세,4833
부산,2023-12-31,관광,남성,21~30세,309
인천,2023-12-31,관광,남성,21~30세,105
인천공항,2023-12-31,관광,남성,21~30세,55639
제주공항,2023-12-31,관광,남성,21~30세,6293
제주항,2023-12-31,관광,남성,21~30세,208
기타공항,2023-12-31,관광,남성,31~40세,761
기타항구,2023-12-31,관광,남성,31~40세,885
김포,2023-12-31,관광,남성,31~40세,6083
김해,2023-12-31,관광,남성,31~40세,5660
부산,2023-12-31,관광,남성,31~40세,252
인천,2023-12-31,관광,남성,31~40세,358
인천공항,2023-12-31,관광,남성,31~40세,54908
제주공항,2023-12-31,관광,남성,31~40세,4952
제주항,2023-12-31,관광,남성,31~40세,471
기타공항,2023-12-31,관광,남성,41~50세,739
기타항구,2023-12-31,관광,남성,41~50세,979
김포,2023-12-31,관광,남성,41~50세,6106
김해,2023-12-31,관광,남성,41~50세,5136
부산,2023-12-31,관광,남성,41~50세,364
인천,2023-12-31,관광,남성,41~50세,807
인천공항,2023-12-31,관광,남성,41~50세,43655
제주공항,2023-12-31,관광,남성,41~50세,2370
제주항,2023-12-31,관광,남성,41~50세,370
기타공항,2023-12-31,관광,남성,51~60세,470
기타항구,2023-12-31,관광,남성,51~60세,1352
김포,2023-12-31,관광,남성,51~60세,5052
김해,2023-12-31,관광,남성,51~60세,4252
부산,2023-12-31,관광,남성,51~60세,367
인천,2023-12-31,관광,남성,51~60세,1144
인천공항,2023-12-31,관광,남성,51~60세,29767
제주공항,2023-12-31,관광,남성,51~60세,1747
제주항,2023-12-31,관광,남성,51~60세,627
기타공항,2023-12-31,관광,남성,61세이상,473
기타항구,2023-12-31,관광,남성,61세이상,4046
김포,2023-12-31,관광,남성,61세이상,2786
김해,2023-12-31,관광,남성,61세이상,3491
부산,2023-12-31,관광,남성,61세이상,366
인천,2023-12-31,관광,남성,61세이상,1786
인천공항,2023-12-31,관광,남성,61세이상,16809
제주공항,2023-12-31,관광,남성,61세이상,1494
제주항,2023-12-31,관광,남성,61세이상,1435
기타공항,2023-12-31,관광,여성,20세 이하,597
기타항구,2023-12-31,관광,여성,20세 이하,139
김포,2023-12-31,관광,여성,20세 이하,4195
김해,2023-12-31,관광,여성,20세 이하,3616
부산,2023-12-31,관광,여성,20세 이하,364
인천,2023-12-31,관광,여성,20세 이하,89
인천공항,2023-12-31,관광,여성,20세 이하,58137
제주공항,2023-12-31,관광,여성,20세 이하,2671
제주항,2023-12-31,관광,여성,20세 이하,200
기타공항,2023-12-31,관광,여성,21~30세,1209
기타항구,2023-12-31,관광,여성,21~30세,324
김포,2023-12-31,관광,여성,21~30세,12816
김해,2023-12-31,관광,여성,21~30세,8140
부산,2023-12-31,관광,여성,21~30세,366
인천,2023-12-31,관광,여성,21~30세,181
인천공항,2023-12-31,관광,여성,21~30세,126384
제주공항,2023-12-31,관광,여성,21~30세,15402
제주항,2023-12-31,관광,여성,21~30세,435
기타공항,2023-12-31,관광,여성,31~40세,1317
기타항구,2023-12-31,관광,여성,31~40세,681
김포,2023-12-31,관광,여성,31~40세,9894
김해,2023-12-31,관광,여성,31~40세,7215
부산,2023-12-31,관광,여성,31~40세,285
인천,2023-12-31,관광,여성,31~40세,287
인천공항,2023-12-31,관광,여성,31~40세,85216
제주공항,2023-12-31,관광,여성,31~40세,9270
제주항,2023-12-31,관광,여성,31~40세,1184
기타공항,2023-12-31,관광,여성,41~50세,1255
기타항구,2023-12-31,관광,여성,41~50세,816
김포,2023-12-31,관광,여성,41~50세,7126
김해,2023-12-31,관광,여성,41~50세,6530
부산,2023-12-31,관광,여성,41~50세,316
인천,2023-12-31,관광,여성,41~50세,517
인천공항,2023-12-31,관광,여성,41~50세,59319
제주공항,2023-12-31,관광,여성,41~50세,3609
제주항,2023-12-31,관광,여성,41~50세,742
기타공항,2023-12-31,관광,여성,51~60세,922
기타항구,2023-12-31,관광,여성,51~60세,1928
김포,2023-12-31,관광,여성,51~60세,6216
김해,2023-12-31,관광,여성,51~60세,5420
부산,2023-12-31,관광,여성,51~60세,352
인천,2023-12-31,관광,여성,51~60세,1276
인천공항,2023-12-31,관광,여성,51~60세,40891
제주공항,2023-12-31,관광,여성,51~60세,2832
제주항,2023-12-31,관광,여성,51~60세,1230
기타공항,2023-12-31,관광,여성,61세이상,742
기타항구,2023-12-31,관광,여성,61세이상,3360
김포,2023-12-31,관광,여성,61세이상,3224
김해,2023-12-31,관광,여성,61세이상,4003
부산,2023-12-31,관광,여성,61세이상,327
인천,2023-12-31,관광,여성,61세이상,1488
인천공항,2023-12-31,관광,여성,61세이상,21906
제주공항,2023-12-31,관광,여성,61세이상,2087
제주항,2023-12-31,관광,여성,61세이상,1809
기타공항,2024-01-31,관광,남성,20세 이하,893
기타항구,2024-01-31,관광,남성,20세 이하,933
김포,2024-01-31,관광,남성,20세 이하,2077
김해,2024-01-31,관광,남성,20세 이하,2864
부산,2024-01-31,관광,남성,20세 이하,197
인천,2024-01-31,관광,남성,20세 이하,778
인천공항,2024-01-31,관광,남성,20세 이하,25746
제주공항,2024-01-31,관광,남성,20세 이하,3070
제주항,2024-01-31,관광,남성,20세 이하,563
기타공항,2024-01-31,관광,남성,21~30세,464
기타항구,2024-01-31,관광,남성,21~30세,648
김포,2024-01-31,관광,남성,21~30세,3459
김해,2024-01-31,관광,남성,21~30세,3414
부산,2024-01-31,관광,남성,21~30세,283
인천,2024-01-31,관광,남성,21~30세,163
인천공항,2024-01-31,관광,남성,21~30세,39314
제주공항,2024-01-31,관광,남성,21~30세,7264
제주항,2024-01-31,관광,남성,21~30세,110
기타공항,2024-01-31,관광,남성,31~40세,560
기타항구,2024-01-31,관광,남성,31~40세,1304
김포,2024-01-31,관광,남성,31~40세,4838
김해,2024-01-31,관광,남성,31~40세,4520
부산,2024-01-31,관광,남성,31~40세,243
